Número da Compra;Número do Item;Descrição;Descrição Detalhada;Início da Vigência;Fim da Vigência;Unidade;Qtd. Autorizada;Fornecedor;Val. Unitário;Qtd. Saldo;Marca;Tipo de Compra;Número do Pregão;Ano do Pregão;UASG;Objeto;Unidade de Fornecimento;UG;Quantidade Empenhada;Início da Vigência;Fim da Vigência;Capacidade de Empenho
160224-90003/2024;39;467371 - Parafuso Rosca Madeira;Parafuso Rosca Madeira Material: Aço Carbono , Tipo Cabeça: Chata , Tipo Fenda: Phillips , Diâmetro Corpo: 3,50 MM, Comprimento: 25 M;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;2;08.658.622/0001-13 - J. J. VITALLI;19.8;2;Ciser;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Caixa 500,00 UN;;;;30/04/2025;
160224-90003/2024;40;364775 - Parafuso auto-atarraxante;Parafuso Auto-Atarraxante Material: Aço Carbono , Tratamento Superficial: Zincado , Tipo Cabeça: Panela , Tipo Fenda: Reta , Diâmetro Corpo: 4,20 MM, Comprimento: 32 M;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;500;07.645.527/0001-12 - BIGPAR COMERCIO DE PARAFUSOS, FERRAMENTAS E MATERIAIS ELETRICOS LTDA;0.15;500;CE;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;41;340989 - Parafuso;Parafuso Material: Latão , Características Adicionais: Com Bucha S8 , Aplicação: Concreto;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;500;13.338.681/0001-44 - COMERCIAL SPONCHIADO LTDA;0.32;500;WORKER;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;42;254066 - Parafuso com bucha e porca;Parafuso Com Bucha E Porca Material: Latão , Referência Bucha: Nº 10 , Tipo Porca: Castelo;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;300;07.645.527/0001-12 - BIGPAR COMERCIO DE PARAFUSOS, FERRAMENTAS E MATERIAIS ELETRICOS LTDA;1.05;300;CE;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;43;369300 - Parafuso;Parafuso Material: Galvanizado , Tipo: Cabeça Sextavada , Comprimento: 85 MM, Diâmetro: 8 MM, Aplicação: Telha Fibrocimento , Tipo Rosca: Soberba;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;100;07.645.527/0001-12 - BIGPAR COMERCIO DE PARAFUSOS, FERRAMENTAS E MATERIAIS ELETRICOS LTDA;1.6;100;CE;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;44;369299 - Parafuso;Parafuso Material: Galvanizado , Tipo: Cabeça Sextavada , Comprimento: 250 MM, Diâmetro: 8 MM, Aplicação: Telha Fibrocimento , Tipo Rosca: Soberba;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;1000;07.645.527/0001-12 - BIGPAR COMERCIO DE PARAFUSOS, FERRAMENTAS E MATERIAIS ELETRICOS LTDA;1.78;1000;CE;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;45;304929 - Porta-cadeado;Porta-Cadeado Material: Ferro , Tratamento Superficial: Zincado , Comprimento: 64 MM, Altura: 30 MM, Espessura: 2 M;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;20;08.658.622/0001-13 - J. J. VITALLI;2.2;20;Kala;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;46;480495 - Porta-cadeado;Porta-Cadeado Material: Aço Inoxidável , Comprimento: 31,2 POL, Altura: 45 MM, Espessura: 3 M;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;20;;;20;;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;47;480681 - Tela metálica;Tela Metálica Material: Arame Galvanizado , Tipo Tela: Alambrado , Tipo Abertura Malha: Losangular , Tamanho Abertura Malha: 50 X 50 MM, Diâmetro Fio: 2,77 MM, Comprimento: 50 M, Altura: 2 M, Revestimento: Pvc Verde , Aplicação: Construção Civil;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;5;;;5;;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;48;450770 - Conjunto manifold;Conjunto Manifold Componentes: Conjunto De Válvulas E 2 Manômetros , Aplicação: Gases R22 - R134a - R404a - R407c;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;2;07.645.527/0001-12 - BIGPAR COMERCIO DE PARAFUSOS, FERRAMENTAS E MATERIAIS ELETRICOS LTDA;237.19;2;CE;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;49;343779 - Conjunto flangeador;Conjunto Flangeador Componentes: Corpo Base/Mordente/Ponteiras/Cortador Tubo , Aplicação: Tubulação Metálica , Sistema Medidida Mordente: Métrico , Sistema Medida Ponteiras: Métrico , Características Adicionais: Alargador De Tubo 1/8 Pol A 3/4 Pol;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;2;07.645.527/0001-12 - BIGPAR COMERCIO DE PARAFUSOS, FERRAMENTAS E MATERIAIS ELETRICOS LTDA;276.0;2;CE;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;50;245546 - Pulverizador costal manual;Pulverizador Costal Manual Material Tanque: Polietileno , Capacidade Tanque: 5 L, Peso Bruto Máximo: 8 KG, Aplicação: Pulverização De Gases E Líquidos;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;4;36.181.473/0001-80 - BIDDEN COMERCIAL LTDA.;69.5;4;Lynus;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;51;233330 - Torneira;Torneira Material Corpo: Latão , Tipo: Pia , Diâmetro: 1/2 POL, Acabamento Superficial: Cromado , Caracteristicas Adicionais: Com Bica Móvel Longa E Bico Arejador;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;30;42.883.960/0001-97 - SZATA COMERCIO VAREJISTA LTDA;30.59;30;1167 C72 PAREDE;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;52;249819 - Torneira;Torneira Material Corpo: Metal , Tipo: Pia , Diâmetro: 1/2 POL, Acabamento Superficial: Cromado , Caracteristicas Adicionais: Curta , Aplicação: Pia;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;30;08.658.622/0001-13 - J. J. VITALLI;27.72;30;Alpha;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;53;371770 - Cadeado;Cadeado Material: Latão Maciço , Material Haste: Aço Cementado/Cromado , Altura: 78 MM, Largura: 50 MM, Características Adicionais: 2 Chaves Em Latão Niquelado/Trava Dupla;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;20;07.645.527/0001-12 - BIGPAR COMERCIO DE PARAFUSOS, FERRAMENTAS E MATERIAIS ELETRICOS LTDA;17.0;20;CE;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;54;384322 - Cadeado;Cadeado Material: Latão Maciço , Material Haste: Aço Inoxidável , Altura: 100 MM, Largura: 60 MM, Características Adicionais: 16 Pinos/Chave Tetra 2 Travas/Altura Haste:40mm;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;30;;;30;;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;55;236534 - Cadeado;Cadeado Material: Latão Maciço , Material Haste: Aço Inoxidável , Altura: 69 MM, Largura: 50 MM, Quantidade Pinos: 16 UN, Características Adicionais: Com Chave Tipo Tetra E Trava Dupla;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;30;51.490.386/0001-06 - 51.490.386 ROBERT SILVA SANTOS;22.5;30;50mm-latão maciço-te;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;56;486738 - Peça / Componente Roçadeira;Peça / Componente Roçadeira Tipo: Vela , Aplicação: Roçadeira Stihl Fs 350 , Características Adicionais: Ignição Bpmr7a Ngk;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;10;37.087.255/0001-43 - REALIZA COMERCIO E SERVICOS LTDA;23.45;10;VELA DE IGNIÇÃO PARA;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;57;302420 - Facão;Facão Material Lâmina: Aço , Material Cabo: Madeira , Comprimento: 18 POL, Tipo: Para Mato , Características Adicionais: Com Bainha , Material Bainha: Couro , Comprimento Cabo: 12 C;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;10;43.892.634/0001-09 - BRAVE DISTRIBUIDORA LTDA;40.0;10;101.241+101.670;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;58;356080 - Peça , componente roçadeira;Peça / Componente Roçadeira Tipo: Cabeçote De Corte , Aplicação: Roçadeira Costal Stihl Fs 220 , Características Adicionais: Conjunto De Corte Trimcut 40-2;;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;10;45.332.828/0001-85 - LICITA INVEST - ASSESSORIA COMERCIAL LTDA;30.0;10;abeçote De Corte , A;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;59;486102 - Peça / acessório - motoserra;"Peça / Acessório - Motoserra Tipo: Corrente , Aplicação: Motosserra Stihl , Características Adicionais: 42 Dentes + 1elo, Ranhura De 1,6mm, Passo 3/8"", Sa , Referência 3: Modelo Ms 460";;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;3;;;3;;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
160224-90003/2024;60;486102 - Peça / acessório - motoserra;"Peça / Acessório - Motoserra Tipo: Corrente , Aplicação: Motosserra Stihl , Características Adicionais: 42 Dentes + 1elo, Ranhura De 1,6mm, Passo 3/8"", Sa , Referência 3: Modelo Ms 460";;30/04/2025;160224 - PARQUE REGIONAL DE MANUTENCAO/5;6;;;6;;Gerenciadora;90003;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Eventual aquisição de MATERIAL METÁLICO PARA MANUTENÇÃO DE BENS IMÓVEIS-CCALC;Unidade;;;;30/04/2025;
