Número da Compra;Número do Item;Descrição;Descrição Detalhada;Início da Vigência;Fim da Vigência;Unidade;Qtd. Autorizada;Fornecedor;Val. Unitário;Qtd. Saldo;Marca;Tipo de Compra;Número do Pregão;Ano do Pregão;UASG;Objeto;Unidade de Fornecimento
90016/2024;54;266816 - Correia;"Correia Material: Poliamida 100% , Tipo Fio: 960/140 Dtex , Tipo Armação: 2x2, À Direita E À Esquerda, Em ""V"" , Largura: 25 MM, Espessura: 1,3 MM, Cor: Verde-Oliva , Aplicação: Estojo Carregador Fuzil";;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;03.851.189/0001-14 - HABIB DECORACOES DE ITAJUBA LTDA;63.0300;0;CORREIA;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;55;266816 - Correia;"Correia Material: Poliamida 100% , Tipo Fio: 960/140 Dtex , Tipo Armação: 2x2, À Direita E À Esquerda, Em ""V"" , Largura: 25 MM, Espessura: 1,3 MM, Cor: Verde-Oliva , Aplicação: Estojo Carregador Fuzil";;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;03.851.189/0001-14 - HABIB DECORACOES DE ITAJUBA LTDA;81.5300;0;CORREIA;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;56;600027 - Agulha máquina costura;Agulha Máquina Costura Material: Aço Niquelado , Tipo: Dpx17 , Tamanho: Nº 23;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;03.851.189/0001-14 - HABIB DECORACOES DE ITAJUBA LTDA;20.9700;0;AGULHA PARA;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;57;600066 - Faca;Faca Material Lâmina: Aço Carbono , Material Cabo: Aço Carbono , Tamanho: 10 , Aplicação: Cortar Tecidos , Características Adicionais: Lisa Sem Cabo;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;03.851.189/0001-14 - HABIB DECORACOES DE ITAJUBA LTDA;23.0000;0;FACA LISA;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;58;601656 - Óleo Lubrificante.;Óleo Lubrificante. Apresentação: Líquido Viscoso , Origem: Mineral , Viscosidade: Vg 10 , Uso: Máquina De Costura Industrial;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;03.851.189/0001-14 - HABIB DECORACOES DE ITAJUBA LTDA;8.4800;0;Óleo Lubrificante;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;59;601179 - Giz De Alfaiate;Giz De Alfaiate Tipo: Disco , Cor: Branca;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;03.851.189/0001-14 - HABIB DECORACOES DE ITAJUBA LTDA;69.2100;0;GIZ DE ALFAIATE;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;60;359480 - Velcro;Velcro Largura: 25 MM, Comprimento: 25 M, Apresentação: Fecho , Cor: Preta;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;03.851.189/0001-14 - HABIB DECORACOES DE ITAJUBA LTDA;33.2541;0;Velcro;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Rolo 25,00 M
90016/2024;61;359478 - Velcro;Velcro Largura: 50 MM, Comprimento: 25 M, Apresentação: Fecho , Cor: Preta;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;27.176.482/0001-91 - DOUGLAS CORDEIRO LTDA;45.0600;0;VELCRO 25MM;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Rolo 25,00 M
90016/2024;62;601760 - Tirante;Tirante Tipo: Elástico Chato , Material: 75% Poliester E_25% Elastodieno , Referência: Pq5jbj2 , Aplicação: Capa De Colete Balístico;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;03.851.189/0001-14 - HABIB DECORACOES DE ITAJUBA LTDA;139.7000;0;ELÁSTICO;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;63;601760 - Tirante;Tirante Tipo: Elástico Chato , Material: 75% Poliester E_25% Elastodieno , Referência: Pq5jbj2 , Aplicação: Capa De Colete Balístico;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;03.851.189/0001-14 - HABIB DECORACOES DE ITAJUBA LTDA;54.6700;0;ELÁSTICO;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;64;486417 - Adesivo uso geral;Adesivo Uso Geral Apresentação: Liquido Pastoso Na Cor Branca , Composição: Adesivo De Contato Sem Toluol , Características Adicionais: Secagem De 5 A 10 Minutos Para Materiais Porosos , Aplicação: Uso Geral;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;03.851.189/0001-14 - HABIB DECORACOES DE ITAJUBA LTDA;49.2900;0;ADESIVO USO GERAL;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;65;462916 - Ilhos De Uso Em Tecido;Ilhos De Uso Em Tecido Material: Latão , Tamanho: Nr 05 , Aplicação: Capotaria , Características Adicionais: Tipo Garra;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;03.851.189/0001-14 - HABIB DECORACOES DE ITAJUBA LTDA;326.7000;0;ILHÓS;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Caixa 200,00 UN
90016/2024;66;462915 - Ilhos De Uso Em Tecido;Ilhos De Uso Em Tecido Material: Latão , Tamanho: Nr 03 , Aplicação: Capotaria , Características Adicionais: Tipo Garra;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;44.651.148/0001-61 - M.L. COMERCIO E REPRESENTACOES LTDA;129.0000;0;LULI;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Caixa 200,00 UN
90016/2024;67;462917 - Ilhos De Uso Em Tecido;Ilhos De Uso Em Tecido Material: Latão , Tamanho: Nr 00 , Aplicação: Capotaria , Características Adicionais: Tipo Garra;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;44.651.148/0001-61 - M.L. COMERCIO E REPRESENTACOES LTDA;90.0000;0;LULI;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Caixa 200,00 UN
90016/2024;68;360189 - Tela Náilon;Tela Náilon Largura: 1,40 M, Aplicação: Mosquiteiro , Tipo: Filó , Cor: Verde;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;;;0;;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Rolo 50,00 M
90016/2024;69;423244 - Regulador;Regulador Material: Polietileno , Cor: Preta , Tamanho: 35 MM, Aplicação: Alça De Bolsa  E Similares;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;03.851.189/0001-14 - HABIB DECORACOES DE ITAJUBA LTDA;0.2600;0;REGULADOR PLÁSTICO;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;70;447112 - Pincel pintura predial;Pincel Pintura Predial Material Cerdas: Gris , Tamanho: 4 , Material Cabo: Plástico;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;;;0;;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;71;326087 - Placa corte;Placa Corte Material: Resina Sintética , Tipo: Monoface , Comprimento: 90 CM, Largura: 60 CM, Aplicação: Restauração De Livros E Documentos;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;;;0;;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;72;451208 - Tecido uso pára-quedas;Tecido Uso Pára-Quedas Material: Nylon 240 Resinado , Porosidade: 0 , Cor: Vermelho , Largura: 150 C;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;;;0;;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Metro
90016/2024;73;451207 - Tecido uso pára-quedas;Tecido Uso Pára-Quedas Material: Nylon 240 Resinado , Porosidade: 0 , Cor: Laranja , Largura: 150 C;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;;;0;;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Metro
90016/2024;74;612390 - Adesivo uso geral;Adesivo Uso Geral Apresentação: Liquido Pastoso Na Cor Branca , Composição: Adesivo De Contato Sem Toluol , Características Adicionais: Secagem Rápida , Aplicação: Uso Geral;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;;;0;;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;75;328321 - Espuma;Espuma Material: Poliuretano , Aspecto Físico: Sólido , Comprimento: 190 CM, Largura: 5 CM, Densidade: D45;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;;;0;;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;76;601620 - Corda;Corda Material: Elástico , Tipo: Corda Elástica Extensor , Aplicação: Amarrações Em Geral , Características Adicionais: Com Ganchos De Metal Nas Pontas;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;;;0;;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;77;601880 - Tatame;Tatame Material: E.V.A. , Comprimento Placa: 1 M, Largura Placa: 0,5 M, Espessura Placa: 10 MM, Cor: Preto;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;;;0;;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;78;487692 - Cadarço;Cadarço Material: Poliéster , Largura: 3 MM, Cor: Verde-Oliva , Formato Seção: Redondo;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;;;0;;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Rolo 10,00 M
90016/2024;79;476263 - Papelão;Papelão Material: Celulose Vegetal , Espessura: 1 MM, Comprimento: 100 CM, Largura: 80 CM, Tipo: Papelão Paraná;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;;;0;;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;80;463185 - Fivela;Fivela Material: Plástico , Cor: Preta , Características Adicionais: Dimensão: 25mm;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;;;0;;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;81;463051 - Ilhos de uso em tecido;Ilhos De Uso Em Tecido Material: Ferro Fundido , Tamanho: Nr 05 , Aplicação: Correaria;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;;;0;;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;82;606419 - Cordel de fibra;Cordel De Fibra Tipo: Corda Velame Com Alma Trançada , Material: 100% Poliéster , Espessura: 2 MM, Cor: Verde Oliva;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;03.851.189/0001-14 - HABIB DECORACOES DE ITAJUBA LTDA;1.7820;0;CORDEL POLIAMIDA;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;83;606419 - Cordel de fibra;Cordel De Fibra Tipo: Corda Velame Com Alma Trançada , Material: 100% Poliéster , Espessura: 2 MM, Cor: Verde Oliva;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;03.851.189/0001-14 - HABIB DECORACOES DE ITAJUBA LTDA;1.1781;0;CORDEL POLIAMIDA;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;84;404265 - Corda elástica;Corda Elástica Material: Elástico E Nylon , Diâmetro: 8 MM, Comprimento: 15 M, Aplicação: Ginástica Individual, Atletismo E Desporto;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;;;0;;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;85;606419 - Cordel de fibra;Cordel De Fibra Tipo: Corda Velame Com Alma Trançada , Material: 100% Poliéster , Espessura: 2 MM, Cor: Verde Oliva;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;03.851.189/0001-14 - HABIB DECORACOES DE ITAJUBA LTDA;1.8000;0;CORDEL;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;86;463080 - Corda;Corda Material: Polipropileno , Tipo: Trançada , Diâmetro: 10 MM, Cor: Verde Oliva;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;;;0;;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Metro
90016/2024;87;462567 - Zíper;Zíper Material: 100% Poliéster , Tipo: Cursor Duplo , Cor: Verde Oliva , Tamanho: 200 C;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;03.851.189/0001-14 - HABIB DECORACOES DE ITAJUBA LTDA;3.8400;0;ZÍPER DE FERRO;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Metro
90016/2024;88;411817 - Cursor para zíper;Cursor Para Zíper Material: Zamak , Cor: Preto , Tamanho: Para Zíper Nº 10;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;03.851.189/0001-14 - HABIB DECORACOES DE ITAJUBA LTDA;2.3200;0;CURSOR N°10;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;89;462567 - Zíper;Zíper Material: 100% Poliéster , Tipo: Cursor Duplo , Cor: Verde Oliva , Tamanho: 200 C;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;03.851.189/0001-14 - HABIB DECORACOES DE ITAJUBA LTDA;3.2200;0;ZÍPER DE FERRO;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Metro
90016/2024;90;265780 - Cursor para zíper;Cursor Para Zíper Material: Metálico , Cor: Verde-Oliva , Tamanho: Médio;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;03.851.189/0001-14 - HABIB DECORACOES DE ITAJUBA LTDA;1.7500;0;CURSOR N° 08;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Unidade
90016/2024;91;472021 - Tecido de cordura;Tipo: 500, Cor: Camuflado, Largura: 1,50 M, Aplicação: Confecção, Capa De Colete Balístico, Características Adicionais: Resinado,;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;;;0;;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Metro
90016/2024;92;462953 - Tecido de cordura;Tecido De Cordura Tipo: 500 , Cor: Verde Oliva , Largura: 1,50 M, Aplicação: Confecção, Capa De Colete Balístico , Características Adicionais: Resinado;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;0;;;0;;Pregão Eletrônico;90016;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição classe 2;Metro
90018/2024;1;475010 - Álcool propílico;Álcool Propílico Aspecto Físico: Líquido , Fórmula Química: (Ch3)2choh (Isopropílico Ou Iso-Propanol) , Peso Molecular*: 60,10 G/MOL, Grau De Pureza: Pureza Mínima De 99,8% , Característica Adicional: Reagente P.A. Acs , Número De Referência Química: Cas 67-63-0;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;15;;;15;;Pregão Eletrônico;90018;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição de Classe V;Litro
90018/2024;2;407961 - Algodão uso médico;Algodão Uso Médico Tipo: Hidrófilo , Apresentação: Em Rolete , Material: Alvejado, Purificado, Isento De Impurezas , Esterilidade: Não Estéril;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;20;;;20;;Pregão Eletrônico;90018;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição de Classe V;Embalagem 500,00 G
90018/2024;3;456251 - Éter dietílico;Éter Dietílico Aspecto Físico: Líquido , Pureza Mínima: Pureza Mínima De 99% , Peso Molecular: 74,12 G/MOL, Característica Adicional: Reagente Acs , Número De Referência Química: Cas 60-29-7;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;5;;;5;;Pregão Eletrônico;90018;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição de Classe V;Litro
90018/2024;4;445856 - Acetona;Acetona Aspecto Físico: Líquido , Fórmula Química: C3h6o , Massa Molecular: 58,08 G/MOL, Grau De Pureza: Pureza Mínima De 98,5% , Número De Referência Química: Cas 67-64-1;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;5;;;5;;Pregão Eletrônico;90018;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição de Classe V;Litro
90018/2024;5;401693 - Petrolato;Petrolato Aspecto Físico: Pasta Cerosa Incolor Ou Branca , Grau De Pureza: Altamente Refinada , Característica Adicional: Mistura De Hidrocarbonetos De Petróleo , Número De Referência Química: Cas 8009-03-8;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;10;;;10;;Pregão Eletrônico;90018;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição de Classe V;Quilograma
90018/2024;6;380630 - Benzina;Benzina Aspecto Físico: Líquido Incolor, Límpido, Com Odor De Gasolina , Fórmula Química: Mistura De Hidrocarbonetos Derivados Do Petróleo , Faixa De Destilação: Destilados Na Faixa Entre 60 E 120°C , Grau De Pureza: Pureza Mínima De 97% , Característica Adicional: Benzina Retificada , Número De Referência Química: Cas 64742-49-0;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;5;;;5;;Pregão Eletrônico;90018;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição de Classe V;Litro
90018/2024;7;298941 - Alfinete Mapa;Alfinete Mapa Material: Metal , Tratamento Superficial: Galvanizado , Material Cabeça: Plástico , Formato Cabeça: Redondo , Cor: Vermelha , Comprimento: 13 M;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;60;;;60;;Pregão Eletrônico;90018;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição de Classe V;Unidade
90018/2024;8;283269 - Microesfera Jateamento;Microesfera Jateamento Material: Vidro , Tipo: Ad;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;50;;;50;;Pregão Eletrônico;90018;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição de Classe V;Saco 25,00 KG
90018/2024;9;365430 - Agente Espumante;Agente Espumante Composição: Polimeril Solúvel, Cloreto E Sulfato De Na,Ca E Mg , Aspecto Físico: Líquido , Aplicação: Uso Agrícola , Características Adicionais: Anticongelante, Anticorrosivo E Conservante;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;30;;;30;;Pregão Eletrônico;90018;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição de Classe V;Galão 5,00 L
90018/2024;10;603998 - Cápsula de evaporação;Cápsula De Evaporação Material: Porcelana , Diâmetro: Cerca De 130 MM, Formato: Fundo Chato , Adicional: Com Bico;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;4000;;;4000;;Pregão Eletrônico;90018;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição de Classe V;Unidade
90018/2024;11;362421 - Solvente;Solvente Aspecto Físico: Líquido , Ponto Fulgor: 38 °C, Composição Química: Hidrocarbonetos Alifáticos E Aromáticos;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;20;;;20;;Pregão Eletrônico;90018;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição de Classe V;Galão 5,00 L
90018/2024;12;361080 - Reativo coagulação;Reativo Coagulação Composição: {Ýfecl3.Fe2(So4)3¨N.Al2(So4)3} , Concentração: 2% De Fe2o3 + 7% De Al2o3 , Aspecto Físico: Líquido Marrom Escuro , Aplicação: Floculante Para Tratamento De Águas;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;10;;;10;;Pregão Eletrônico;90018;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição de Classe V;Quilograma
90018/2024;13;604890 - Estopa;Estopa Material: Fio Algodão , Características Adicionais: Costurado;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;40;;;40;;Pregão Eletrônico;90018;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição de Classe V;Pacote 1,00 KG
90018/2024;14;236219 - Desengraxante;Desengraxante Aspecto Físico: Pó , Composição: Hidróxido De Sódio E Sais Alcalinos , Características Adicionais: Solúvel Em Água , Aplicação: Limpeza Peças De Armamento;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;12;;;12;;Pregão Eletrônico;90018;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição de Classe V;Saco 25,00 KG
90018/2024;15;400479 - Agente fosfatizante;Agente Fosfatizante Composição: Fosfato De Manganês , Densidade: Densidade Em Torno De 1,33-1,40 G/L , Forma Física: Líquido Viscoso, Verde Oliva;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;8;;;8;;Pregão Eletrônico;90018;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição de Classe V;Quilograma
90018/2024;16;322477 - Resistência Elétrica;Resistência Elétrica Comprimento: 30 CM, Diâmetro: 11,2 MM, Material Corpo: Aço Inoxidável Aisi 304 , Aplicação: Balcão Distribuição Alimentos , Características Adicionais: De Imersão, Rosca Em Latão Bsp , Tipo: Tubular , Tensão Nominal: 220 V, Potência Nominal: 3500 W, Número Pólos: 3 , Diâmetro Rosca: 2 POL, Modelo: Cri/3;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;12;;;12;;Pregão Eletrônico;90018;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição de Classe V;Unidade
90018/2024;17;353957 - Bobina de inducao;Bobina De Inducao Tensão Alimentação: 110 V, Referência Fabricante: Pvc 85.4-4a (Multicoil) , Freqüência: 50/60 HZ, Dimensões: 41x37x29 MM, Características Adicionais: Encapsulamento Em Nylon Com Fibra;;;160224 - PARQUE REGIONAL DE MANUTENCAO/5;3;;;3;;Pregão Eletrônico;90018;2024;160224 - PARQUE REGIONAL DE MANUTENCAO/5;Aquisição de Classe V;Unidade
